  283 R     8.2023 0.1   5.2483 0.1 
  387 R     5.3498 0.1   9.3773 0.1 
  250 G3    4.6123 0.1   9.1084 0.1 
  315 R     4.3137 0.1   2.3163 0.1 
  140 G3    2.0691 0.1   7.0337 0.1 
  174 G2    7.9608 0.1   3.9420 0.1 
  474 R     5.4947 0.1   4.3958 0.1 
  138 R     7.9233 0.1   9.5716 0.1 
  394 G2    7.5033 0.1   4.3047 0.1 
  337 G3    2.3038 0.1   8.1035 0.1 
  153 G2    7.6429 0.1   4.2501 0.1 
  482 G1    2.5607 0.1   3.4694 0.1 
  122 G1    3.5396 0.1   3.2401 0.1 
  382 G2    6.6905 0.1   5.3110 0.1 
  398 G2    7.4697 0.1   4.7344 0.1 
   86 G2    8.1642 0.1   3.2918 0.1 
  286 G1    2.7727 0.1   3.2903 0.1 
  392 G3    2.1615 0.1   6.9556 0.1 
  275 G2    8.1609 0.1   3.6561 0.1 
  171 G3    3.4527 0.1   8.4948 0.1 
   97 G1    2.8386 0.1   3.1442 0.1 
  363 G1    2.8879 0.1   3.0697 0.1 
  418 G2    5.9960 0.1   4.9785 0.1 
  322 R     0.7873 0.1   2.7133 0.1 
  220 G3    2.5537 0.1   7.3780 0.1 
  174 R     7.7115 0.1   6.8752 0.1 
  357 G1    3.5560 0.1   2.8817 0.1 
  464 G3    4.1801 0.1   9.2129 0.1 
  115 R     6.0909 0.1   8.3937 0.1 
  420 G2    8.3691 0.1   4.4570 0.1 
  190 G1    3.4746 0.1   2.7988 0.1 
  147 G1    2.8116 0.1   2.8015 0.1 
  265 R     3.9841 0.1   9.2825 0.1 
   32 R     3.6788 0.1   3.9513 0.1 
   26 G1    2.5102 0.1   2.9918 0.1 
  477 G3    1.8484 0.1   6.8370 0.1 
  372 G2    7.8642 0.1   4.1711 0.1 
  247 R     1.5949 0.1   6.8899 0.1 
  224 G1    3.1228 0.1   2.9205 0.1 
  409 R     8.5783 0.1   7.8562 0.1 
  205 R     7.7088 0.1   1.6540 0.1 
  402 G1    3.0345 0.1   2.8339 0.1 
   88 G3    3.1815 0.1   8.2450 0.1 
  300 R     6.9568 0.1   3.4409 0.1 
  252 G2    5.9773 0.1   5.9520 0.1 
  365 G1    2.5463 0.1   3.1509 0.1 
  119 G2    7.2623 0.1   4.7692 0.1 
  407 R     2.8381 0.1   7.2450 0.1 
  335 G2    6.4052 0.1   5.7003 0.1 
  495 G3    2.6723 0.1   7.7144 0.1 
  330 R     4.3430 0.1   8.6420 0.1 
  354 R     1.5189 0.1   3.9677 0.1 
  144 G3    1.6593 0.1   7.3689 0.1 
   88 G1    2.9717 0.1   2.7951 0.1 
  119 G3    2.7142 0.1   7.6128 0.1 
  237 G1    3.2120 0.1   3.2306 0.1 
  401 G2    6.0972 0.1   6.0459 0.1 
  160 R     9.3615 0.1   1.3005 0.1 
  361 G1    2.3981 0.1   3.0078 0.1 
  307 G2    7.3008 0.1   6.3618 0.1 
  403 G1    3.2656 0.1   2.8941 0.1 
   66 G1    2.7115 0.1   3.0268 0.1 
  389 R     1.5902 0.1   0.7367 0.1 
  274 G3    2.5715 0.1   7.7634 0.1 
  309 R     9.2579 0.1   3.4916 0.1 
   75 R     4.5499 0.1   5.2576 0.1 
  387 G1    2.0264 0.1   2.9922 0.1 
  358 G1    3.0442 0.1   2.6448 0.1 
    9 G1    2.2338 0.1   2.7958 0.1 
   79 R     5.5790 0.1   0.4993 0.1 
   90 R     5.6066 0.1   1.6646 0.1 
  145 G1    3.5075 0.1   3.2897 0.1 
   95 G1    3.7948 0.1   2.9006 0.1 
  252 G3    2.6127 0.1   7.6051 0.1 
   23 G3    4.2236 0.1   5.2832 0.1 
  178 G3    2.9638 0.1   8.1536 0.1 
   81 G1    2.8946 0.1   2.9114 0.1 
  415 G2    6.7150 0.1   5.2461 0.1 
  385 G3    2.3202 0.1   7.2014 0.1 
   61 R     7.9253 0.1   2.7635 0.1 
   87 G3    3.3512 0.1   8.2265 0.1 
  353 G1    3.0826 0.1   2.5703 0.1 
   98 G3    3.0572 0.1   7.6580 0.1 
  411 G3    3.0282 0.1   9.2172 0.1 
  498 G2    5.4997 0.1   5.9875 0.1 
  245 G3    3.4009 0.1   8.6237 0.1 
  478 R     2.1370 0.1   4.1538 0.1 
  333 G2    6.5069 0.1   5.5891 0.1 
  141 R     3.2304 0.1   9.1988 0.1 
  419 R     0.4025 0.1   2.9031 0.1 
   25 R     9.0279 0.1   4.4280 0.1 
  466 G2    8.7201 0.1   3.8497 0.1 
  188 G2    5.8399 0.1   6.4686 0.1 
  211 G3    3.0653 0.1   8.1084 0.1 
  288 G3    2.5901 0.1   6.6811 0.1 
   16 G3    3.7849 0.1   8.4666 0.1 
   35 R     3.0283 0.1   5.6532 0.1 
  139 G3    3.5348 0.1   7.8658 0.1 
  137 G1    2.7475 0.1   3.0255 0.1 
  468 G2    7.3031 0.1   5.1686 0.1 
  268 G3    2.7335 0.1   7.5771 0.1 
  473 R     0.7575 0.1   4.4744 0.1 
  264 R     5.5352 0.1   4.1355 0.1 
   54 G1    2.6039 0.1   3.3734 0.1 
  131 G3    4.4996 0.1   8.5186 0.1 
  474 G3    1.9136 0.1   6.5386 0.1 
  190 G2    7.1552 0.1   4.6969 0.1 
  423 R     6.5268 0.1   1.8229 0.1 
  433 G1    2.5178 0.1   3.1869 0.1 
   40 G1    3.0397 0.1   2.8353 0.1 
  396 G1    3.6029 0.1   3.4119 0.1 
  429 G1    3.1230 0.1   3.1958 0.1 
  317 G2    6.2867 0.1   5.3499 0.1 
  301 G3    2.3194 0.1   7.3005 0.1 
  339 G2    5.8665 0.1   5.5414 0.1 
  485 R     2.5606 0.1   1.4105 0.1 
  351 R     5.5585 0.1   9.4234 0.1 
  157 G2    6.9491 0.1   5.1354 0.1 
  137 G3    3.4581 0.1   8.2404 0.1 
  325 G3    2.7215 0.1   8.3504 0.1 
  376 R     1.3262 0.1   8.7868 0.1 
   74 G3    1.7802 0.1   6.7377 0.1 
  448 G3    3.5264 0.1   8.0284 0.1 
  194 G2    7.0549 0.1   5.0726 0.1 
  345 R     2.2814 0.1   7.4390 0.1 
  462 R     9.2183 0.1   9.5912 0.1 
  332 G2    6.7585 0.1   5.5056 0.1 
   93 G2    6.8043 0.1   5.1705 0.1 
    2 G1    2.9809 0.1   3.1787 0.1 
  455 G3    2.5242 0.1   7.9823 0.1 
   13 G1    2.4936 0.1   2.8165 0.1 
   26 G3    2.2101 0.1   7.4317 0.1 
   59 G2    6.6272 0.1   5.1648 0.1 
  263 G2    7.2271 0.1   6.0292 0.1 
  367 G3    2.7133 0.1   7.8038 0.1 
    6 G1    2.0157 0.1   2.8324 0.1 
   16 G2    7.4346 0.1   4.3102 0.1 
  166 G3    2.2715 0.1   6.7145 0.1 
   48 G2    6.3311 0.1   5.5833 0.1 
  276 G3    3.2621 0.1   8.3473 0.1 
  215 G1    3.5753 0.1   2.9993 0.1 
  280 R     0.0855 0.1   1.3561 0.1 
  344 G3    3.3703 0.1   9.1442 0.1 
   17 G1    3.6754 0.1   2.9688 0.1 
   94 G2    7.4270 0.1   4.5526 0.1 
  264 G2    8.0293 0.1   4.2348 0.1 
  411 G2    7.6083 0.1   4.4446 0.1 
   60 G2    7.4020 0.1   4.6228 0.1 
  496 R     5.6875 0.1   7.0369 0.1 
  480 R     5.1424 0.1   3.5018 0.1 
  226 G1    2.8077 0.1   2.6968 0.1 
  147 G2    7.6750 0.1   4.3882 0.1 
  138 G3    2.8993 0.1   8.4014 0.1 
  344 R     9.5304 0.1   5.5407 0.1 
  217 R     2.1756 0.1   8.1598 0.1 
  222 R     5.7427 0.1   2.6827 0.1 
  393 G3    2.6218 0.1   7.5580 0.1 
  465 G2    8.5702 0.1   4.1423 0.1 
  162 G3    2.4261 0.1   7.9682 0.1 
   42 G2    8.1959 0.1   3.8290 0.1 
  313 G1    2.6769 0.1   2.4018 0.1 
  245 G2    7.7434 0.1   4.4580 0.1 
  127 R     6.0380 0.1   3.5494 0.1 
   13 R     9.6302 0.1   9.7626 0.1 
  187 G2    8.1094 0.1   3.9924 0.1 
   22 G3    3.5280 0.1   8.3043 0.1 
  182 R     2.7749 0.1   0.1312 0.1 
  124 G2    8.3651 0.1   3.4489 0.1 
  114 G2    8.0550 0.1   5.3068 0.1 
  422 G3    5.5758 0.1   8.3825 0.1 
  113 G3    3.0502 0.1   8.2146 0.1 
  410 G1    3.1473 0.1   3.0605 0.1 
  343 G3    2.5657 0.1   6.7383 0.1 
   44 G3    3.0168 0.1   8.3463 0.1 
  271 G1    3.9009 0.1   2.7390 0.1 
  146 G2    8.3415 0.1   3.7247 0.1 
   52 R     7.0615 0.1   1.9376 0.1 
  365 G3    3.2073 0.1   8.1171 0.1 
  339 G3    3.2948 0.1   8.5413 0.1 
  399 G1    3.1518 0.1   2.6369 0.1 
  221 R     0.1730 0.1   5.4672 0.1 
  480 G1    2.2209 0.1   3.1576 0.1 
  289 R     7.4497 0.1   4.1432 0.1 
  262 G1    3.3236 0.1   2.9854 0.1 
  319 G1    2.6651 0.1   3.0080 0.1 
  386 G3    3.9592 0.1   8.9481 0.1 
  479 G2    7.8114 0.1   3.9668 0.1 
  488 R     0.7954 0.1   5.9735 0.1 
   56 G2    7.5891 0.1   4.3721 0.1 
   31 R     5.4792 0.1   4.0659 0.1 
  383 R     2.7395 0.1   6.3677 0.1 
  189 R     6.2189 0.1   5.6634 0.1 
   97 R     3.2565 0.1   9.4844 0.1 
  441 R     6.2466 0.1   9.4086 0.1 
  376 G2    8.2609 0.1   3.6101 0.1 
  363 G2    6.2317 0.1   5.5108 0.1 
  145 G3    2.2427 0.1   6.3914 0.1 
  244 G1    4.1548 0.1   3.0917 0.1 
  121 R     2.6174 0.1   8.3612 0.1 
  381 G2    6.4016 0.1   4.9783 0.1 
  284 G1    2.5634 0.1   3.2194 0.1 
  168 G1    2.6169 0.1   2.8590 0.1 
   87 G1    2.2872 0.1   2.8980 0.1 
  270 R     4.6009 0.1   3.0164 0.1 
  402 G2    7.2921 0.1   4.2137 0.1 
  458 G2    7.2085 0.1   4.8196 0.1 
  167 G1    2.5461 0.1   3.0854 0.1 
  264 G1    3.0125 0.1   2.9888 0.1 
  132 G2    7.8661 0.1   4.7353 0.1 
  498 G3    3.3696 0.1   8.0263 0.1 
   64 G3    1.6731 0.1   7.0705 0.1 
  448 R     4.7074 0.1   4.6497 0.1 
  409 G1    3.0262 0.1   2.9569 0.1 
  369 G1    2.2764 0.1   3.3557 0.1 
  112 G3    3.5372 0.1   8.1257 0.1 
  253 G2    8.0456 0.1   5.8540 0.1 
   13 G3    3.4368 0.1   7.1456 0.1 
  460 G2    6.7891 0.1   5.7246 0.1 
  304 G2    6.1677 0.1   6.9400 0.1 
   18 G2    8.0624 0.1   4.0771 0.1 
  176 G2    6.5716 0.1   5.8052 0.1 
   21 G2    7.5683 0.1   4.3740 0.1 
  407 G1    2.5578 0.1   3.1830 0.1 
  356 G2    5.8506 0.1   4.2903 0.1 
  469 G2    6.7685 0.1   5.2776 0.1 
  126 R     1.1218 0.1   9.0188 0.1 
  284 G3    4.1029 0.1   9.4897 0.1 
  221 G1    2.6458 0.1   2.9857 0.1 
   27 R     3.7615 0.1   8.0726 0.1 
   37 G1    2.4333 0.1   2.8881 0.1 
  262 G3    4.6944 0.1   8.8074 0.1 
  436 G3    2.9456 0.1   7.9774 0.1 
  320 G1    2.8833 0.1   3.3293 0.1 
  249 G2    7.1711 0.1   4.8129 0.1 
  201 G3    3.2668 0.1   8.2704 0.1 
  420 G1    3.1858 0.1   3.1416 0.1 
  310 G3    2.7297 0.1   7.8266 0.1 
  493 G1    3.0779 0.1   3.0433 0.1 
   62 G3    1.7478 0.1   6.6368 0.1 
  258 G1    3.7311 0.1   2.7158 0.1 
  442 G2    7.4865 0.1   4.6422 0.1 
   32 G2    8.6875 0.1   5.7712 0.1 
  241 G2    6.7154 0.1   5.8405 0.1 
   67 G1    4.0326 0.1   2.7447 0.1 
  219 G2    6.5986 0.1   5.4422 0.1 
  340 G2    8.8437 0.1   3.5209 0.1 
  395 G3    2.8752 0.1   8.3470 0.1 
  446 G1    3.4536 0.1   3.0986 0.1 
   84 R     7.2088 0.1   2.2027 0.1 
  405 G1    2.7269 0.1   2.9593 0.1 
  446 R     0.9812 0.1   8.0974 0.1 
  497 G1    3.2719 0.1   3.1053 0.1 
  279 G3    4.5195 0.1   8.7494 0.1 
  193 G1    3.0024 0.1   3.0752 0.1 
   72 G2    6.7660 0.1   5.1161 0.1 
  235 G1    2.8547 0.1   3.4026 0.1 
  475 R     8.6393 0.1   4.6500 0.1 
  118 G1    2.7785 0.1   2.7850 0.1 
  373 G2    7.2345 0.1   4.4741 0.1 
  360 G2    6.9549 0.1   5.5151 0.1 
  265 G2    7.2420 0.1   4.6744 0.1 
  472 G1    2.3294 0.1   2.9946 0.1 
  413 G1    2.4729 0.1   3.0936 0.1 
   53 G1    3.0683 0.1   3.3408 0.1 
  112 G1    3.0488 0.1   2.8141 0.1 
  404 R     1.0578 0.1   8.6617 0.1 
  456 G1    3.7244 0.1   3.2486 0.1 
  290 G2    7.6505 0.1   4.4083 0.1 
  473 G3    2.4457 0.1   7.3650 0.1 
  302 G1    3.5268 0.1   3.1292 0.1 
   76 R     8.7478 0.1   3.9524 0.1 
  226 G3    2.2384 0.1   7.4444 0.1 
  152 R     5.2482 0.1   4.8986 0.1 
  229 G2    7.6773 0.1   4.3443 0.1 
  274 G1    3.3242 0.1   2.6520 0.1 
  286 G3    3.1528 0.1   8.3960 0.1 
  109 G1    2.9456 0.1   3.4737 0.1 
  218 G1    4.5103 0.1   3.1820 0.1 
  194 G3    3.0371 0.1   8.0395 0.1 
   18 G1    3.6464 0.1   2.8396 0.1 
  189 G1    3.7656 0.1   3.3990 0.1 
  487 G2    7.4090 0.1   4.5940 0.1 
  132 R     8.3328 0.1   8.0234 0.1 
  136 G2    7.5522 0.1   4.5609 0.1 
  168 R     4.1081 0.1   5.3684 0.1 
  338 G3    3.3335 0.1   8.1079 0.1 
  320 G2    5.6917 0.1   4.7111 0.1 
  301 G2    6.5373 0.1   6.1687 0.1 
   19 G3    3.3328 0.1   8.5598 0.1 
  105 G3    2.8585 0.1   8.1558 0.1 
  228 G2    6.3645 0.1   5.2152 0.1 
  482 G3    2.8683 0.1   7.8218 0.1 
  482 G2    7.1351 0.1   4.8631 0.1 
  309 G3    2.3051 0.1   7.2433 0.1 
  369 G2    7.5279 0.1   5.2094 0.1 
   28 R     1.2650 0.1   5.5888 0.1 
  174 G1    3.7902 0.1   2.5444 0.1 
  223 G3    3.1858 0.1   8.2341 0.1 
  276 G2    6.9759 0.1   5.3417 0.1 
   57 R     8.0479 0.1   5.2919 0.1 
   43 G1    2.4781 0.1   3.3250 0.1 
  234 G2    6.8451 0.1   4.8366 0.1 
  352 G3    2.4206 0.1   7.2758 0.1 
   76 G2    6.8231 0.1   5.2042 0.1 
    9 R     5.7434 0.1   5.0592 0.1 
  348 R     3.1883 0.1   8.6041 0.1 
  308 G1    3.2945 0.1   3.1142 0.1 
   34 R     2.4761 0.1   5.5129 0.1 
   61 G3    4.0295 0.1   8.7434 0.1 
  288 R     4.7582 0.1   6.2485 0.1 
  292 G2    5.8258 0.1   6.1002 0.1 
  420 R     8.0743 0.1   6.6718 0.1 
  246 G1    3.7391 0.1   2.8838 0.1 
  378 G1    1.9588 0.1   2.6830 0.1 
  275 R     5.7340 0.1   4.1639 0.1 
   75 G1    2.4735 0.1   2.9555 0.1 
  431 G1    2.9007 0.1   2.9066 0.1 
  456 R     4.4825 0.1   1.0382 0.1 
   56 R     5.4327 0.1   5.1918 0.1 
  173 G3    2.6808 0.1   7.6554 0.1 
  180 R     6.6641 0.1   5.0620 0.1 
  428 G2    7.2098 0.1   4.8756 0.1 
  437 R     7.0348 0.1   5.8028 0.1 
   46 G3    2.7217 0.1   7.7121 0.1 
   74 R     8.7617 0.1   7.7582 0.1 
   29 G3    1.9836 0.1   7.0556 0.1 
  191 G2    7.8542 0.1   3.4211 0.1 
   23 G2    5.3946 0.1   6.3101 0.1 
  380 G3    1.7869 0.1   6.8390 0.1 
  169 G1    3.2186 0.1   3.5263 0.1 
  216 G1    2.3912 0.1   3.1382 0.1 
  209 R     8.6342 0.1   2.0083 0.1 
  478 G1    3.2862 0.1   3.4101 0.1 
  447 G2    7.1148 0.1   4.8063 0.1 
   51 G3    3.1271 0.1   8.4351 0.1 
  389 G1    2.4283 0.1   3.1753 0.1 
  499 R     8.1385 0.1   5.9360 0.1 
  347 G2    7.7933 0.1   4.0400 0.1 
  476 G2    6.7085 0.1   5.3005 0.1 
  182 G3    4.1263 0.1   9.0575 0.1 
   75 G2    6.6730 0.1   4.8169 0.1 
  464 G1    3.1066 0.1   3.0392 0.1 
   18 R     5.1972 0.1   7.1530 0.1 
   24 G2    6.7817 0.1   5.6455 0.1 
   78 R     3.0839 0.1   3.4129 0.1 
  352 G1    2.8870 0.1   3.2867 0.1 
  404 G2    7.0080 0.1   5.3721 0.1 
  399 R     8.0646 0.1   0.4464 0.1 
  247 G1    2.9220 0.1   2.6066 0.1 
  451 G2    7.2035 0.1   4.9024 0.1 
  297 R     3.2370 0.1   1.7019 0.1 
  164 G2    6.6261 0.1   5.3091 0.1 
  418 G3    2.7266 0.1   7.7661 0.1 
  216 G2    6.7812 0.1   5.0102 0.1 
  414 G2    7.6987 0.1   3.7644 0.1 
  230 G1    3.0991 0.1   2.7364 0.1 
  447 R     5.4571 0.1   5.8581 0.1 
   71 G2    6.5320 0.1   5.5934 0.1 
  291 R     5.0425 0.1   7.1248 0.1 
  483 R     6.4073 0.1   2.6087 0.1 
    4 R     7.0687 0.1   5.1785 0.1 
  312 R     1.9069 0.1   5.5737 0.1 
  419 G3    3.3775 0.1   8.3885 0.1 
  347 G3    3.0638 0.1   8.3215 0.1 
   53 R     4.4608 0.1   2.6681 0.1 
  450 G3    3.3940 0.1   9.0904 0.1 
   58 G1    2.9505 0.1   2.9019 0.1 
  294 G2    7.4338 0.1   3.9614 0.1 
  157 R     1.9295 0.1   7.0137 0.1 
  344 G2    5.9649 0.1   5.8791 0.1 
  237 G2    7.2448 0.1   4.4613 0.1 
  240 G2    5.7835 0.1   6.4066 0.1 
  191 G3    3.3047 0.1   8.3908 0.1 
  432 G1    3.9868 0.1   3.0097 0.1 
  233 G2    7.4929 0.1   4.5201 0.1 
  304 R     1.4652 0.1   3.8411 0.1 
   72 G1    2.7850 0.1   3.4817 0.1 
  313 G3    2.7797 0.1   7.7857 0.1 
  316 G2    7.0744 0.1   4.9300 0.1 
   14 G1    3.4206 0.1   3.4833 0.1 
  283 G3    3.9338 0.1   9.9596 0.1 
  478 G3    3.1757 0.1   8.1242 0.1 
   10 R     5.2408 0.1   0.6443 0.1 
   93 G1    2.4500 0.1   3.1374 0.1 
  213 G1    3.2206 0.1   2.8901 0.1 
  140 G1    3.6048 0.1   3.0618 0.1 
   66 G3    1.7344 0.1   7.4980 0.1 
  162 G1    2.9038 0.1   3.1257 0.1 
  479 G3    3.3622 0.1   8.2670 0.1 
  417 R     0.4912 0.1   6.1685 0.1 
  103 R     4.5107 0.1   2.6783 0.1 
  160 G2    6.3249 0.1   5.3592 0.1 
   46 G1    2.4648 0.1   2.9589 0.1 
  321 G2    7.3249 0.1   4.7720 0.1 
  406 R     4.7957 0.1   9.1299 0.1 
  431 G2    7.5691 0.1   4.4651 0.1 
   71 G3    2.8982 0.1   7.8606 0.1 
  148 G3    3.2958 0.1   8.3023 0.1 
  136 G1    2.8864 0.1   3.1811 0.1 
   49 G1    2.9180 0.1   2.8443 0.1 
  334 R     0.9201 0.1   4.1054 0.1 
  490 G2    7.6837 0.1   4.5555 0.1 
  131 R     4.3045 0.1   4.6379 0.1 
  206 G3    3.0015 0.1   8.5712 0.1 
  194 G1    2.9700 0.1   2.6199 0.1 
  307 G1    3.7808 0.1   3.1150 0.1 
  438 G3    4.3936 0.1   7.8902 0.1 
  223 G1    3.2118 0.1   2.8827 0.1 
  401 G1    3.2545 0.1   3.4830 0.1 
   82 G3    1.8684 0.1   7.1523 0.1 
  342 G2    6.4193 0.1   5.4861 0.1 
  111 G3    2.9594 0.1   7.2990 0.1 
  189 G3    3.4618 0.1   8.4648 0.1 
  272 G1    3.0453 0.1   3.2105 0.1 
  263 R     8.3254 0.1   7.0281 0.1 
  485 G3    2.9444 0.1   7.9262 0.1 
  125 R     9.9382 0.1   9.2707 0.1 
  479 R     2.2031 0.1   0.9369 0.1 
  261 G2    7.1977 0.1   4.8297 0.1 
  180 G2    5.8219 0.1   4.1085 0.1 
  405 G2    6.6450 0.1   5.6310 0.1 
  430 G1    3.5002 0.1   3.0570 0.1 
  373 R     2.1157 0.1   7.6124 0.1 
  186 R     7.1274 0.1   1.3008 0.1 
  414 G1    3.3669 0.1   2.7412 0.1 
  382 R     6.7044 0.1   0.5169 0.1 
   78 G3    3.5522 0.1   9.5747 0.1 
   61 G2    6.9262 0.1   5.1668 0.1 
  436 G1    2.7192 0.1   2.8627 0.1 
  211 R     1.7636 0.1   2.7397 0.1 
   72 G3    3.2750 0.1   7.6204 0.1 
  212 G3    2.9674 0.1   6.8971 0.1 
   71 G1    2.8475 0.1   2.7678 0.1 
   15 R     3.4965 0.1   1.8916 0.1 
  392 G2    7.7497 0.1   4.2941 0.1 
  387 G3    3.5461 0.1   8.0922 0.1 
  381 G1    2.0968 0.1   3.1121 0.1 
  336 G1    3.4678 0.1   3.0289 0.1 
  301 G1    2.7869 0.1   2.8774 0.1 
   89 G1    3.2012 0.1   2.9363 0.1 
  451 G3    2.8400 0.1   7.7700 0.1 
   88 G2    8.0413 0.1   3.5984 0.1 
  446 G3    2.1464 0.1   6.7295 0.1 
  247 G2    6.2879 0.1   4.1281 0.1 
  255 G3    2.5258 0.1   7.5296 0.1 
  361 G3    2.6847 0.1   7.5390 0.1 
   96 G1    4.1715 0.1   3.0879 0.1 
  406 G2    6.0407 0.1   5.3183 0.1 
   85 G2    6.2554 0.1   5.3597 0.1 
  242 G1    3.6790 0.1   3.2091 0.1 
  378 G3    2.9174 0.1   7.9174 0.1 
  329 G3    3.8110 0.1   8.9038 0.1 
  320 R     7.5749 0.1   0.8840 0.1 
  169 R     5.7631 0.1   1.5659 0.1 
  282 R     5.4394 0.1   5.6987 0.1 
  158 G1    3.7524 0.1   2.8877 0.1 
  374 G2    7.3465 0.1   5.5036 0.1 
  236 G3    2.8763 0.1   7.7173 0.1 
  360 R     1.0731 0.1   3.0729 0.1 
  259 G1    3.6917 0.1   3.0353 0.1 
  441 G1    2.5323 0.1   2.8756 0.1 
  134 R     5.5324 0.1   2.0145 0.1 
  282 G1    3.9144 0.1   3.2776 0.1 
   65 R     8.6167 0.1   7.5878 0.1 
  113 G2    8.0122 0.1   4.2388 0.1 
  129 G1    2.6860 0.1   3.0266 0.1 
   32 G1    2.9349 0.1   3.0399 0.1 
  163 R     1.4563 0.1   0.9108 0.1 
   24 R     2.9212 0.1   6.5877 0.1 
  439 G1    2.5972 0.1   3.0338 0.1 
  328 G1    2.7513 0.1   2.9834 0.1 
  482 R     7.8919 0.1   4.7199 0.1 
  100 R     1.7852 0.1   8.1213 0.1 
  343 G1    3.6036 0.1   3.1164 0.1 
  191 G1    2.6043 0.1   2.8636 0.1 
  380 R     6.3941 0.1   5.0711 0.1 
  335 G1    2.9287 0.1   2.9995 0.1 
  249 R     0.5527 0.1   8.2078 0.1 
  100 G2    7.0492 0.1   4.8257 0.1 
   86 G3    3.8652 0.1   8.0323 0.1 
  281 G2    7.1922 0.1   5.8109 0.1 
   51 G2    6.6131 0.1   5.4366 0.1 
  475 G3    2.5097 0.1   7.4403 0.1 
  416 R     1.5338 0.1   4.4659 0.1 
  463 G2    6.7600 0.1   5.3646 0.1 
  257 G1    2.2013 0.1   3.4614 0.1 
  241 G3    2.8826 0.1   7.9486 0.1 
   39 G1    3.3200 0.1   2.9443 0.1 
   21 G3    3.0499 0.1   8.0613 0.1 
   10 G2    9.4377 0.1   3.4641 0.1 
  239 G1    2.8415 0.1   3.2066 0.1 
  279 G2    6.0137 0.1   5.4252 0.1 
  142 G1    3.1974 0.1   3.2459 0.1 
  175 G3    2.2987 0.1   7.8867 0.1 
  239 G2    6.3916 0.1   5.2155 0.1 
   67 R     0.1863 0.1   0.7389 0.1 
  288 G2    5.7434 0.1   6.3411 0.1 
  221 G2    7.9402 0.1   3.7848 0.1 
  308 G2    7.5831 0.1   5.7573 0.1 
   35 G3    4.6598 0.1   8.1907 0.1 
   84 G2    6.7345 0.1   5.0086 0.1 
  258 G3    3.1252 0.1   8.1690 0.1 
   70 G2    6.4215 0.1   6.1659 0.1 
   36 G2    7.4960 0.1   4.4935 0.1 
  137 G2    8.0306 0.1   3.7039 0.1 
  319 G3    2.1446 0.1   7.7534 0.1 
  159 G2    7.7381 0.1   3.9095 0.1 
   49 G3    3.3423 0.1   8.2159 0.1 
  388 G1    3.0505 0.1   3.2149 0.1 
  275 G1    2.4584 0.1   2.8680 0.1 
   55 G1    3.1181 0.1   3.3347 0.1 
   38 G2    7.4622 0.1   2.7363 0.1 
  496 G2    6.5934 0.1   5.3387 0.1 
  463 R     8.2529 0.1   6.7894 0.1 
  344 G1    2.4398 0.1   3.1849 0.1 
   33 G2    6.0179 0.1   6.4202 0.1 
  296 R     2.5660 0.1   0.6929 0.1 
   70 R     1.1504 0.1   4.8816 0.1 
  445 R     5.6433 0.1   9.9906 0.1 
  450 G2    6.0766 0.1   6.1372 0.1 
  475 G1    3.2348 0.1   2.9375 0.1 
  233 R     3.8198 0.1   1.0842 0.1 
  218 G2    7.2191 0.1   4.8016 0.1 
  139 G1    1.8978 0.1   2.7534 0.1 
  386 G2    8.0880 0.1   3.3298 0.1 
  204 G1    3.1516 0.1   2.9329 0.1 
  445 G2    6.5931 0.1   5.1997 0.1 
  256 G1    2.9042 0.1   2.7297 0.1 
  321 G1    4.1796 0.1   3.0855 0.1 
   90 G2    7.8685 0.1   4.3548 0.1 
  120 G3    3.3732 0.1   8.4814 0.1 
   65 G2    7.2591 0.1   4.5772 0.1 
  371 G3    1.9135 0.1   6.9128 0.1 
  188 G1    3.3376 0.1   3.1996 0.1 
  462 G1    2.6859 0.1   3.0960 0.1 
   75 G3    1.4260 0.1   6.4790 0.1 
  330 G3    2.3489 0.1   7.1482 0.1 
  445 G1    2.9688 0.1   2.7150 0.1 
  121 G2    6.5453 0.1   5.6057 0.1 
  114 G3    5.0238 0.1   8.1922 0.1 
  228 G1    3.8813 0.1   3.0083 0.1 
   11 R     5.7356 0.1   6.7453 0.1 
  410 R     9.2119 0.1   6.1006 0.1 
    0 G3    3.7405 0.1   9.0444 0.1 
  228 R     1.8959 0.1   6.3872 0.1 
  279 G1    2.7715 0.1   3.1840 0.1 
  216 G3    2.8639 0.1   8.4302 0.1 
  107 G3    3.7474 0.1   7.8126 0.1 
  210 R     2.4762 0.1   7.4626 0.1 
   12 G1    2.9670 0.1   2.9932 0.1 
  134 G3    2.9638 0.1   7.7484 0.1 
  457 R     1.8171 0.1   2.6215 0.1 
  217 G2    7.4437 0.1   4.5447 0.1 
  429 G2    7.2233 0.1   4.7554 0.1 
  167 R     4.5840 0.1   0.4075 0.1 
  434 G3    3.1282 0.1   8.7930 0.1 
  411 G1    3.3336 0.1   2.9873 0.1 
  294 G1    3.1927 0.1   2.8942 0.1 
  205 G1    2.9812 0.1   2.4696 0.1 
  336 G2    7.2698 0.1   4.6156 0.1 
  467 R     7.9967 0.1   4.2606 0.1 
  176 R     3.1974 0.1   4.3671 0.1 
  474 G1    3.5276 0.1   3.1314 0.1 
  278 G1    2.8376 0.1   3.2407 0.1 
  455 G2    7.3999 0.1   3.9212 0.1 
